Grade,Strand,Anchor Standard,Code,Benchmark
K,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,K.1.1.1,Demonstrate civic skills in a classroom that reflect an understanding of civic values by identifying a classroom goal and listing ways that students work together using civic skills to address a need or goal.
K,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",K.1.2.1,Consider and describe ways group members show they belong to the group.
K,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",K.1.3.1,List personal group associations and name personal roles and responsibilities to each of those groups.
K,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",K.1.4.1,Identify examples of rules in the school and neighborhood community and explain why they exist. Describe incentives for following rules and consequences for breaking rules.
K,2. Economics,7. Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,K.2.7.1,Use cost-benefit analysis as a group to solve a problem.
K,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",K.2.9.1,Distinguish between individual needs (conditions necessary to survive) and individual wants (conditions desired to be happy).
K,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",K.2.10.1,Distinguish between goods (objects that can be seen or touched) and services (actions or activities). Identify goods and services that could satisfy a specific need or want.
K,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,K.2.12.1,Explain why people agree to trade.
K,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",K.3.13.1,Explain or show routes between locations using both fixed and dynamic maps from local to global scales.
K,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",K.3.14.1,Identify physical and human characteristics and find examples in the local community and within stories.
K,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,K.3.17.1,Create a representation of a favorite place. Explain why it is important to them and how it makes them feel.
K,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",K.4.18.1,"Ask historical questions about a past event in an individual's family, school or local community."
K,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",K.4.19.1,Identify how different families and communities celebrate or commemorate events and engage in respectful conversation about traditions within an individual's family/community and those of other families/communities.
K,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",K.4.20.1,Describe how people learn about the past by identifying different types of historical sources and asking what can be learned from those sources.
K,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,K.4.21.1,"Use a variety of words to reference time in the past, present and future. Identify the beginning, middle and end of diverse historical stories."
K,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,K.4.22.1,"Retell and discuss a story about diverse individuals or groups in the past that illustrate honesty, courage, friendship, respect and/or responsibility."
K,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",K.5.23.1,"Create a personal representation of themselves, including their family and/or ancestors. Discuss the choices made, describing what is special and important, including strengths and assets."
K,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,K.5.24.1,Retell a story about an unfair experience that conveys a power imbalance (a personal experience or one from a story). Share what can be learned from this story.
K,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,K.5.25.1,"Describe the importance of first peoples'/Indigenous peoples' relationships to land, water and the nonhuman world."
1,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,1.1.1.1,Participate in the civic life of the community by demonstrating civic skills that reflect an understanding of civic values in order to work together to reach a community goal or need.
1,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",1.1.2.1,"Identify a symbol, song, pledge or tradition that is important to the student and explain why. Describe ways people show patriotism."
1,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",1.1.3.1,List the rights of learners in the classroom community. Describe how individuals work together to respect and uphold the rights of the individuals in the community.
1,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",1.1.4.1,Identify characteristics of effective rules and participate in a process to establish classroom rules.
1,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",1.1.4.2,Explain how voting determines who will be president and vice president and identify the president and vice president.
1,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",1.1.6.1,Identify a Tribal Nation in Minnesota and list what unites the members as a nation.
1,2. Economics,7. Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,1.2.7.1,Use cost-benefit analysis for two available alternatives to make a decision.
1,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",1.2.8.1,Define scarcity as not having enough of something to satisfy everyone's wants and give examples.
1,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,1.2.11.1,Explain that an economy is a system for using resources and distributing goods and services within a community.
1,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,1.2.12.1,List examples of goods that people buy from different countries.
1,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",1.3.13.1,Create sketch maps and describe the location of items and places shown using positional words or addresses. Ask spatial questions about the map.
1,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",1.3.14.1,Describe the unifying characteristics of specific classroom and school regions.
1,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",1.3.15.1,"Describe patterns of movement of particular people, goods or ideas within and between different communities and countries."
1,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",1.4.18.1,Ask historical questions about an event or rule in the past and identify one way that things have changed or stayed the same.
1,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",1.4.19.1,"Examine multiple accounts of an event, identifying different perspectives."
1,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",1.4.20.1,Investigate historical sources to describe how people lived at a particular time in the past. Identify who created the source.
1,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,1.4.21.1,Create a timeline to identify a sequence of events in a student's life or community.
1,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,1.4.22.1,Describe how a person or group in the past worked to make things fairer for people at that time and identify the legacy (lasting impact) of their work today.
1,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",1.5.23.1,"Identify examples of ethnicity, equality, liberation and systems of power. Use those examples to construct meanings for those terms."
1,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,1.5.24.1,Identify examples of how people care for each other as they work for change in communities.
2,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,2.1.1.1,Demonstrate voting skills by participating in a vote and identifying the rules that keep the voting process fair.
2,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",2.1.2.1,"Describe how voting and elections exemplify democratic principles, including, but not limited to, equality, freedom, fairness, respect for individual rights, citizen participation, majority rule and accepting the results of an election."
2,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",2.1.3.1,"Compare and contrast student rules, rights and responsibilities at school and at home. Explain the importance of following rules. Discuss what to do when a rule is not fair."
2,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",2.1.4.1,Identify a level of government and describe the role it serves in the lives of community members.
