Grade,Strand,Anchor Standard,Code,Benchmark
K,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",0.1.1.0,"Demonstrate understanding of the basic features of print:
a. Follow words from left to right, top to bottom and page by page.
b. Recognize and name all uppercase and lowercase letters of the alphabet.
c. Understand that words are separated by spaces in print."
K,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",0.1.1.1,"Demonstrate understanding of spoken words, syllables and sounds (phonemes):
a. Identify and orally produce rhyming words, onset-rime and alliteration.
b. Identify, count, pronounce, blend, segment and manipulate (add, delete or substitute) compound words and syllables in multi-syllabic words.
c. Isolate, pronounce and manipulate sounds in three-phoneme CVC words."
K,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",0.1.1.2,"Know and apply grade-level phonics and word analysis skills in decoding words:
a. Decode words using one-to-one letter sound correspondences in three-phoneme CVC words and knowledge of word families, demonstrating both accuracy and automaticity.
b. Read high-frequency words, in and out of context, demonstrating both accuracy and automaticity."
K,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",0.1.1.3,"Read decodable texts accurately, with guidance and support. (Decodable texts are those that include words taught in phonics lesson.)"
K,Reading,"R2 Read and comprehend independently A) both self-selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",0.1.2.1,"With guidance and support, read and monitor understanding of grade-level text, self-correcting as needed, using strategies including, but not limited to, decoding, asking questions and making connections."
K,Reading,"R2 Read and comprehend independently A) both self-selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",0.1.2.2,Benchmarks begin in grade 1.
K,Reading,"R2 Read and comprehend independently A) both self-selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",0.1.2.3,"Choose and read texts that explore personal identity and interests, with prompting and support."
K,Reading,R3 Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,0.1.3.1,"Choose and read texts that represent perspectives and identities of historical and contemporary Dakota and Anishinaabe people, with prompting and support."
K,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",0.1.4.1,"Ask and answer questions about key details in a text, with prompting and support."
K,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",0.1.4.2,"Identify the topic of a text, with prompting and support."
K,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",0.1.4.3,"Identify characters and setting, in a literary text, with prompting and support."
K,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",0.1.4.4,"Describe the connection between two pieces of information, events, people or ideas in informational text, with prompting and support."
K,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,0.1.5.1,"Recognize orientation (front cover, back cover, title) of print text and navigation of digital text."
K,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,0.1.5.2,"Recognize the difference between literary and informational text, through listening or reading."
K,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,0.1.5.3,Recognize the connection between illustrations and text.
